id,name,album,artist,genre
5fbQCQt91LsVgXusFS0CCD,Disorder - 2007 Remaster,Unknown Pleasures (Collector's Edition),Joy Division,"alternative rock, art rock, dance rock, madchester, new wave, post-punk, rock, uk post-punk"
7aZ1Grktl7RBHLwxem7DE7,Blowback,Imploding The Mirage,The Killers,"modern rock, permanent wave, rock"
4Vuk0wkvcchcx3dyYOCF6Q,Unspoken,Ultraviolet,Kylesa,"doom metal, double drumming, drone metal, gaian doom, post-doom metal, progressive sludge, psychedelic doom, sludge metal, stoner metal, stoner rock"
0AIgJtsiphW1Aw2Q0Kyla6,TheHollowEarth,FeelingPulledApartByHorses,Thom Yorke,"art pop, electronica, glitch pop, indie rock, modern rock, oxford indie"
2g7qRHK3sV97GlX6XpvMVs,Little Girl,"You're A Woman, I'm A Machine",Death From Above 1979,"alternative dance, alternative rock, canadian rock, dance-punk, garage rock, indie rock, indietronica, modern alternative rock, modern rock, new rave, punk blues, rock"
1EzXLdaZ2GKnlap3caeUN6,On the Edge,On the Edge,Unfound,no information
2ZJBl3HBmjRxDJOkNIGSBR,Like the Moon,Singles,Future Islands,"alternative dance, baltimore indie, chillwave, indie rock, new rave"
4zuJYkXHgE52Vo8z6Is3Ej,In Cythera,MMXII,Killing Joke,"alternative rock, dance rock, experimental, gothic rock, industrial, industrial rock, new romantic, new wave, post-punk, punk, uk post-punk"
1wKy1UGBNH8B7lTfxX4wm0,The space in between - bonus track,Welcome oblivion,How To Destroy Angels,"alternative metal, electronic rock, industrial metal, industrial rock"
2X5SHv5ubRTNIgMxxCPYdo,Ceremony,Ohms,Deftones,"alternative metal, alternative rock, nu metal, rap metal, rock, sacramento indie"
33qrQEXQJg4uk6k8fZgoOa,Phantom Bride,Gore,Deftones,"alternative metal, alternative rock, nu metal, rap metal, rock, sacramento indie"
14LzsIAHmtchvgDWalWnrB,From The Sky,Palimpsest,Protest The Hero,"canadian metal, canadian post-hardcore, djent, melodic metalcore, progressive post-hardcore"
7d3HsxVBxNWx8Q3G5UuHos,My God (feat. Weyes Blood),Imploding The Mirage,The Killers,"modern rock, permanent wave, rock"
5eR6OS3joTAHJToyzehKfu,Trouble’s Coming,Trouble’s Coming,Royal Blood,"alternative rock, brighton indie, garage rock, modern alternative rock, modern blues rock, modern hard rock, modern rock, rock"
73KkGhmS4WL1sK8kw66M04,Platitudes and Barren Words,Hexed (Deluxe Version),Children Of Bodom,"alternative metal, finnish death metal, finnish metal, melodic death metal, metal, power metal"
5gk538TP94rqrew72QPIVZ,This Road,Hexed (Deluxe Version),Children Of Bodom,"alternative metal, finnish death metal, finnish metal, melodic death metal, metal, power metal"
6JhRVfTD08oYgYnrApwgk4,Future Warrior,Palms,Palms,no information
3bqFOhXLDIlWuHMBK1ggy6,Pictures of Purple Skies,Pictures of Purple Skies,Memorex Memories,vaporwave
2yMfFk7JqIbZSxFSfmuBoU,Strange Encounters,Strange Encounters,YOUTH 83,no information
6Qs4SXO9dwPj5GKvVOv8Ki,Dancing With A Stranger (with Normani),Dancing With A Stranger (with Normani),Sam Smith,"dance pop, pop, post-teen pop, uk pop"
2yoIMKtEtb7iEAmyLdmS02,Headless,Ohms,Deftones,"alternative metal, alternative rock, nu metal, rap metal, rock, sacramento indie"
0DtUyeqJIvuOY58kqg0ZCd,This Link Is Dead,Ohms,Deftones,"alternative metal, alternative rock, nu metal, rap metal, rock, sacramento indie"
0qVlikZi9VNhMnPf47zGMv,Pompeji,Ohms,Deftones,"alternative metal, alternative rock, nu metal, rap metal, rock, sacramento indie"
6tFjBPdrwXhIpdR6i59DVx,The Spell of Mathematics,Ohms,Deftones,"alternative metal, alternative rock, nu metal, rap metal, rock, sacramento indie"
5XQPlP8yHnXz5qTjIZ10gC,Error,Ohms,Deftones,"alternative metal, alternative rock, nu metal, rap metal, rock, sacramento indie"
33WXUh74RZ4CEfUkpJwHWE,Urantia,Ohms,Deftones,"alternative metal, alternative rock, nu metal, rap metal, rock, sacramento indie"
33Mdiqg5G8TNeaKQHntgyU,Radiant City,Ohms,Deftones,"alternative metal, alternative rock, nu metal, rap metal, rock, sacramento indie"
0rcLhYRihks3t4lFPtHhQV,She's Lost Control - 2007 Remaster,Unknown Pleasures (Collector's Edition),Joy Division,"alternative rock, art rock, dance rock, madchester, new wave, post-punk, rock, uk post-punk"
6YKtSI3q8vwZizm3x2trLd,New Town Velocity,The Messenger,Johnny Marr,britpop
5mlaaeSzFsH4ouhLrUHCbw,It's Now or Never,"Elvis' Golden Records, Vol. 3",Elvis Presley,"rock-and-roll, rockabilly"
2Ao9KXt7rJqUgtlOLwbFH5,I Believe in Love,Is Everything Okay In Your World?,Yellow Days,"bedroom pop, indie garage rock"
3PZGXFLTJVNc8GS3SPrkMe,Outro (Baked in the Sunshine),Harmless Melodies,Yellow Days,"bedroom pop, indie garage rock"
2Y28HmBMyRrCgL0PTbkP7O,What's It All For?,What's It All For?,Yellow Days,"bedroom pop, indie garage rock"
3LXprYdzVPc76n9ypWTrM8,The Curse (feat. Mac Demarco),The Curse (feat. Mac Demarco),Yellow Days,"bedroom pop, indie garage rock"
